Step: preprocess | Tue Nov 25 12:34:36 2025 | Splitting nodes chr1
Step: preprocess | Tue Nov 25 12:34:37 2025 | Splitting G1DMSO_pooled_allRes chr1
Step: preprocess | Tue Nov 25 12:34:59 2025 | Splitting EpiG1dTAG_pooled_allRes chr1
Step: preprocess | Tue Nov 25 12:35:22 2025 | Splitting nodes chr10
Step: preprocess | Tue Nov 25 12:35:22 2025 | Splitting G1DMSO_pooled_allRes chr10
Step: preprocess | Tue Nov 25 12:35:44 2025 | Splitting EpiG1dTAG_pooled_allRes chr10
Step: preprocess | Tue Nov 25 12:36:05 2025 | Splitting nodes chr11
Step: preprocess | Tue Nov 25 12:36:06 2025 | Splitting G1DMSO_pooled_allRes chr11
Step: preprocess | Tue Nov 25 12:36:28 2025 | Splitting EpiG1dTAG_pooled_allRes chr11
Step: preprocess | Tue Nov 25 12:36:49 2025 | Splitting nodes chr12
Step: preprocess | Tue Nov 25 12:36:49 2025 | Splitting G1DMSO_pooled_allRes chr12
Step: preprocess | Tue Nov 25 12:37:11 2025 | Splitting EpiG1dTAG_pooled_allRes chr12
Step: preprocess | Tue Nov 25 12:37:32 2025 | Splitting nodes chr13
Step: preprocess | Tue Nov 25 12:37:32 2025 | Splitting G1DMSO_pooled_allRes chr13
Step: preprocess | Tue Nov 25 12:37:54 2025 | Splitting EpiG1dTAG_pooled_allRes chr13
Step: preprocess | Tue Nov 25 12:38:16 2025 | Splitting nodes chr14
Step: preprocess | Tue Nov 25 12:38:16 2025 | Splitting G1DMSO_pooled_allRes chr14
Step: preprocess | Tue Nov 25 12:38:37 2025 | Splitting EpiG1dTAG_pooled_allRes chr14
Step: preprocess | Tue Nov 25 12:38:58 2025 | Splitting nodes chr15
Step: preprocess | Tue Nov 25 12:38:58 2025 | Splitting G1DMSO_pooled_allRes chr15
Step: preprocess | Tue Nov 25 12:39:20 2025 | Splitting EpiG1dTAG_pooled_allRes chr15
Step: preprocess | Tue Nov 25 12:39:41 2025 | Splitting nodes chr16
Step: preprocess | Tue Nov 25 12:39:41 2025 | Splitting G1DMSO_pooled_allRes chr16
Step: preprocess | Tue Nov 25 12:40:02 2025 | Splitting EpiG1dTAG_pooled_allRes chr16
Step: preprocess | Tue Nov 25 12:40:23 2025 | Splitting nodes chr17
Step: preprocess | Tue Nov 25 12:40:23 2025 | Splitting G1DMSO_pooled_allRes chr17
Step: preprocess | Tue Nov 25 12:40:45 2025 | Splitting EpiG1dTAG_pooled_allRes chr17
Step: preprocess | Tue Nov 25 12:41:05 2025 | Splitting nodes chr18
Step: preprocess | Tue Nov 25 12:41:05 2025 | Splitting G1DMSO_pooled_allRes chr18
Step: preprocess | Tue Nov 25 12:41:27 2025 | Splitting EpiG1dTAG_pooled_allRes chr18
Step: preprocess | Tue Nov 25 12:41:48 2025 | Splitting nodes chr19
Step: preprocess | Tue Nov 25 12:41:48 2025 | Splitting G1DMSO_pooled_allRes chr19
Step: preprocess | Tue Nov 25 12:42:08 2025 | Splitting EpiG1dTAG_pooled_allRes chr19
Step: preprocess | Tue Nov 25 12:42:29 2025 | Splitting nodes chr2
Step: preprocess | Tue Nov 25 12:42:29 2025 | Splitting G1DMSO_pooled_allRes chr2
Step: preprocess | Tue Nov 25 12:42:51 2025 | Splitting EpiG1dTAG_pooled_allRes chr2
Step: preprocess | Tue Nov 25 12:43:13 2025 | Splitting nodes chr3
Step: preprocess | Tue Nov 25 12:43:13 2025 | Splitting G1DMSO_pooled_allRes chr3
Step: preprocess | Tue Nov 25 12:43:36 2025 | Splitting EpiG1dTAG_pooled_allRes chr3
Step: preprocess | Tue Nov 25 12:43:57 2025 | Splitting nodes chr4
Step: preprocess | Tue Nov 25 12:43:57 2025 | Splitting G1DMSO_pooled_allRes chr4
Step: preprocess | Tue Nov 25 12:44:20 2025 | Splitting EpiG1dTAG_pooled_allRes chr4
Step: preprocess | Tue Nov 25 12:44:42 2025 | Splitting nodes chr5
Step: preprocess | Tue Nov 25 12:44:42 2025 | Splitting G1DMSO_pooled_allRes chr5
Step: preprocess | Tue Nov 25 12:45:04 2025 | Splitting EpiG1dTAG_pooled_allRes chr5
Step: preprocess | Tue Nov 25 12:45:25 2025 | Splitting nodes chr6
Step: preprocess | Tue Nov 25 12:45:25 2025 | Splitting G1DMSO_pooled_allRes chr6
Step: preprocess | Tue Nov 25 12:45:47 2025 | Splitting EpiG1dTAG_pooled_allRes chr6
Step: preprocess | Tue Nov 25 12:46:08 2025 | Splitting nodes chr7
Step: preprocess | Tue Nov 25 12:46:09 2025 | Splitting G1DMSO_pooled_allRes chr7
Step: preprocess | Tue Nov 25 12:46:30 2025 | Splitting EpiG1dTAG_pooled_allRes chr7
Step: preprocess | Tue Nov 25 12:46:52 2025 | Splitting nodes chr8
Step: preprocess | Tue Nov 25 12:46:52 2025 | Splitting G1DMSO_pooled_allRes chr8
Step: preprocess | Tue Nov 25 12:47:14 2025 | Splitting EpiG1dTAG_pooled_allRes chr8
Step: preprocess | Tue Nov 25 12:47:35 2025 | Splitting nodes chr9
Step: preprocess | Tue Nov 25 12:47:35 2025 | Splitting G1DMSO_pooled_allRes chr9
Step: preprocess | Tue Nov 25 12:47:57 2025 | Splitting EpiG1dTAG_pooled_allRes chr9
Step: preprocess | Tue Nov 25 12:48:19 2025 | Splitting nodes chrX
Step: preprocess | Tue Nov 25 12:48:19 2025 | Splitting G1DMSO_pooled_allRes chrX
Step: preprocess | Tue Nov 25 12:48:41 2025 | Splitting EpiG1dTAG_pooled_allRes chrX
Step: preprocess | Tue Nov 25 12:49:02 2025 | Splitting nodes chrY
Step: preprocess | Tue Nov 25 12:49:02 2025 | Splitting G1DMSO_pooled_allRes chrY
Step: preprocess | Tue Nov 25 12:49:22 2025 | Splitting EpiG1dTAG_pooled_allRes chrY
Step: concordance | Tue Nov 25 12:49:42 2025 | computing concordance between G1DMSO_pooled_allRes and EpiG1dTAG_pooled_allRes
GenomeDISCO | Tue Nov 25 12:49:42 2025 | :::::::::: Starting reproducibility analysis
GenomeDISCO | Tue Nov 25 12:49:42 2025 | processing: Loading genomic regions from /athena/apostoloulab/scratch/ukl4001/data/GenomeDSICO/comparison_61/data/nodes/nodes.chr1.gz
GenomeDISCO | Tue Nov 25 12:49:42 2025 | Loading contact maps
GenomeDISCO | Tue Nov 25 12:49:42 2025 | processing: Loading interaction data from /athena/apostoloulab/scratch/ukl4001/data/GenomeDSICO/comparison_61/data/edges/G1DMSO_pooled_allRes/G1DMSO_pooled_allRes.chr1.gz
GenomeDISCO | Tue Nov 25 12:49:51 2025 | processing: Loading interaction data from /athena/apostoloulab/scratch/ukl4001/data/GenomeDSICO/comparison_61/data/edges/EpiG1dTAG_pooled_allRes/EpiG1dTAG_pooled_allRes.chr1.gz
GenomeDISCO | Tue Nov 25 12:49:59 2025 | Subsampling depth = 24407304.0
GenomeDISCO | Tue Nov 25 12:50:07 2025 | Normalizing with sqrtvc
GenomeDISCO | Tue Nov 25 12:50:08 2025 | Distance dependence analysis
GenomeDISCO | Tue Nov 25 12:50:08 2025 | Computing reproducibility score
GenomeDISCO | Tue Nov 25 12:50:08 2025 | done t=1 (not included in score calculation)
GenomeDISCO | Tue Nov 25 12:51:29 2025 | done t=2 (not included in score calculation)
GenomeDISCO | Tue Nov 25 12:53:24 2025 | done t=3 | score=0.677
GenomeDISCO | Tue Nov 25 12:53:26 2025 | :::::::::: Starting reproducibility analysis
GenomeDISCO | Tue Nov 25 12:53:26 2025 | processing: Loading genomic regions from /athena/apostoloulab/scratch/ukl4001/data/GenomeDSICO/comparison_61/data/nodes/nodes.chr10.gz
GenomeDISCO | Tue Nov 25 12:53:26 2025 | Loading contact maps
GenomeDISCO | Tue Nov 25 12:53:26 2025 | processing: Loading interaction data from /athena/apostoloulab/scratch/ukl4001/data/GenomeDSICO/comparison_61/data/edges/G1DMSO_pooled_allRes/G1DMSO_pooled_allRes.chr10.gz
GenomeDISCO | Tue Nov 25 12:53:30 2025 | processing: Loading interaction data from /athena/apostoloulab/scratch/ukl4001/data/GenomeDSICO/comparison_61/data/edges/EpiG1dTAG_pooled_allRes/EpiG1dTAG_pooled_allRes.chr10.gz
GenomeDISCO | Tue Nov 25 12:53:35 2025 | Subsampling depth = 15094202.0
GenomeDISCO | Tue Nov 25 12:53:39 2025 | Normalizing with sqrtvc
GenomeDISCO | Tue Nov 25 12:53:39 2025 | Distance dependence analysis
GenomeDISCO | Tue Nov 25 12:53:39 2025 | Computing reproducibility score
GenomeDISCO | Tue Nov 25 12:53:40 2025 | done t=1 (not included in score calculation)
GenomeDISCO | Tue Nov 25 12:54:11 2025 | done t=2 (not included in score calculation)
GenomeDISCO | Tue Nov 25 12:54:49 2025 | done t=3 | score=0.681
GenomeDISCO | Tue Nov 25 12:54:50 2025 | :::::::::: Starting reproducibility analysis
GenomeDISCO | Tue Nov 25 12:54:50 2025 | processing: Loading genomic regions from /athena/apostoloulab/scratch/ukl4001/data/GenomeDSICO/comparison_61/data/nodes/nodes.chr11.gz
GenomeDISCO | Tue Nov 25 12:54:50 2025 | Loading contact maps
GenomeDISCO | Tue Nov 25 12:54:50 2025 | processing: Loading interaction data from /athena/apostoloulab/scratch/ukl4001/data/GenomeDSICO/comparison_61/data/edges/G1DMSO_pooled_allRes/G1DMSO_pooled_allRes.chr11.gz
